Genes	Groups	Cluster
HEY2	Activators	Cluster1
AGR3	Activators	Cluster2
CDH26	Activators	Cluster3
CYP24A1	Activators	Cluster3
SGK1	Activators	Cluster3
EGR3	Activators	Cluster3
CA2	Activators	Cluster3
HS3ST3A1	Activators	Cluster3
C14orf182	Activators	Cluster3
RASGRP1	Activators	Cluster3
MICB	Activators	Cluster3
RBM24	Activators	Cluster1
PHLDA1	Activators	Cluster1
LINC01293	Activators	Cluster1
KIT	Activators	Cluster1
PGR	Activators	Cluster1
PMAIP1	Activators	Cluster1
ARHGAP36	Activators	Cluster1
SCUBE2	Activators	Cluster1
FHL2	Activators	Cluster1
SYBU	Activators	Cluster2
LINC00511	Activators	Cluster2
PLS3	Activators	Cluster2
C3orf70	Activators	Cluster2
CAV1	Suppressors	Cluster2
SLC47A1	Suppressors	Cluster2
FOS	Suppressors	Cluster2
FOXC1	Suppressors	Cluster2
PAPSS2	Suppressors	Cluster2
C8orf46	Suppressors	Cluster3
HCK	Suppressors	Cluster3
CXCL12	Suppressors	Cluster3
AKR1C3	Suppressors	Cluster3
C12orf56	Suppressors	Cluster3
ABCA12	Suppressors	Cluster1
SLC6A14	Suppressors	Cluster1
KIAA0226L	Suppressors	Cluster1
RAMP3	Suppressors	Cluster1
SLC27A6	Suppressors	Cluster1
PCP4	Suppressors	Cluster1
SIGLEC15	Suppressors	Cluster1
COL12A1	Suppressors	Cluster1
TM4SF1	Suppressors	Cluster1
HSPB8	Suppressors	Cluster2
GALC	Suppressors	Cluster2
KRT13	Suppressors	Cluster2
GNA14	Suppressors	Cluster2
NECAB1	Suppressors	Cluster2
SNX7	Suppressors	Cluster2
MIR17	Suppressors	Cluster2
B3GALNT1	Coregulators	Cluster2
MYBL1	Coregulators	Cluster2
STC2	Coregulators	Cluster2
SOCS2	Coregulators	Cluster2
ADCY1	Coregulators	Cluster2
WISP2	Coregulators	Cluster2
C8orf88	Coregulators	Cluster2
ROBO1	Coregulators	Cluster3
MBOAT1	Coregulators	Cluster3
RAB31	Coregulators	Cluster3
LY6H	Coregulators	Cluster3
DIRAS2	Coregulators	Cluster3
LOC100506351	Coregulators	Cluster3
PLAC1	Coregulators	Cluster3
LOXL1	Coregulators	Cluster3
RAPGEFL1	Coregulators	Cluster3
ARMCX1	Coregulators	Cluster3
S1PR3	Coregulators	Cluster3
FZD7	Coregulators	Cluster3
DUSP6	Coregulators	Cluster3
SLC16A7	Coregulators	Cluster1
TMPRSS3	Coregulators	Cluster1
SH3BGRL	Coregulators	Cluster1
CAV2	Coregulators	Cluster1
NPY1R	Coregulators	Cluster1
MYRFL	Immune	Cluster1
MPPED2	Immune	Cluster1
BIRC3	Immune	Cluster1
MIR6872	Immune	Cluster1
NBPF4	Immune	Cluster1
TRPC6	Immune	Cluster3
AGR2	Immune	Cluster3
SH3RF2	Immune	Cluster3
FAM189A2	Immune	Cluster3
NUPR1	Immune	Cluster3
GSTA4	Immune	Cluster3
LINC01016	Immune	Cluster3
TARP	Immune	Cluster3
KRT80	Immune	Cluster3
BST2	Immune	Cluster3
HGD	Immune	Cluster2
CYP1A1	Immune	Cluster2
POU6F2-AS2	Immune	Cluster2
LOXL1-AS1	Immune	Cluster2
TMEM120B	Immune	Cluster2
PPFIBP2	Immune	Cluster2
TEX19	Immune	Cluster2
PDZK1	Immune	Cluster2
RHOBTB1	Immune	Cluster2
LAMB1	Immune	Cluster2
